restaurant_name;cuisine_type;email;phone;address;city;source
La Reserve Rimbaud;Gastronomique etoile Michelin;contact@reserve-rimbaud.com;04 67 72 52 53;820 avenue Saint-Maur 34000 Montpellier;Bords du Lez;montpellier-contacts-v2.csv
L'Artichaut;Bistronomique;contact@artichaut-restaurant.com;04 67 67 91 86;15 rue Saint-Firmin 34000 Montpellier;Ecusson;montpellier-contacts-v2.csv
La Diligence;Gastronomique;contact@la-diligence.com;04 67 66 12 21;2 place Petrarque 34000 Montpellier;Ecusson;montpellier-contacts-v2.csv
La Closerie;Francais gastronomique;oceania.montpellier@oceaniahotels.com;04 67 12 32 32;3 rue du Clos Rene 34000 Montpellier;Comedie;montpellier-contacts-v2.csv
ASA;Fusion argentine sud-americain asiatique;contact@asa-restaurant.fr;09 63 43 82 91;6 boulevard des Arceaux 34000 Montpellier;Arceaux;montpellier-contacts-v2.csv
Le Melice;Francais contemporain;info@melice.fr;04 67 64 86 51;Bassin Jacques Coeur 34000 Montpellier;Port Marianne;montpellier-contacts-v2.csv
Brasserie Pompette;Brasserie francaise;contact@brasserie-pompette.com;06 19 44 33 58;5 Place de la Revolution Francaise 34000 Montpellier;Port Marianne;montpellier-contacts-v2.csv
La Chistera;Bar restaurant;resto@la-chistera.com;04 67 55 39 51;2 bis Rue d'Obilion 34000 Montpellier;Comedie;montpellier-contacts-v2.csv
Le Verre a Soi;Bar a vins;montpellier@verre-a-soi.fr;04 58 000 145;17 Rue Saint-Guilhem 34000 Montpellier;Ecusson;montpellier-contacts-v2.csv
Le Bistrot Italien;Italien;tsavalli59@hotmail.com;06 19 38 88 29;1 place Rondelet 34000 Montpellier;Gare;montpellier-contacts-v2.csv
Le Karawan;Libanais;fouad_20112012@hotmail.com;06 79 14 54 77;24 rue du Pont de Lattes 34000 Montpellier;Sud;montpellier-contacts-v2.csv
Sawadee Resto Thai;Thailandais;sawadeerestothai34@gmail.com;04 67 22 03 44;59 Avenue de Toulouse Bat Le Toulouse 34070 Montpellier;Toulouse;montpellier-contacts-v2.csv
L'Arganier Kebab;Kebab oriental;alien_8@hotmail.fr;09 53 52 78 17;50 rue de l'Aiguillerie 34000 Montpellier;Ecusson;montpellier-contacts-v2.csv
