restaurant_name;cuisine_type;email;phone;address;website;query
Regui Pizza - Montpellier;Pizzeria;;06 52 40 35 34;Nouveau Saint-Roch, 15 Av. de Maurin, 34000 Montpellier;https://reguipizza.com/order/?type=pickup;pizzeria montpellier
I RAGAZZI;Pizzas à emporter;;07 49 00 28 19;18 Rue d'Alger, 34000 Montpellier;https://iragazzimtp.jimdofree.com/la-carte/;pizzeria montpellier
Pinsa Ciao;Pizzeria;;09 83 88 12 32;19 Rue Henri René, 34000 Montpellier;;pizzeria montpellier
Pizzeria La Spezia;Pizzeria;;04 67 05 75 37;4 Rue du Pont de Lattes, 34000 Montpellier;https://www.instagram.com/laspeziamontpellier;pizzeria montpellier
LES PIZZAS;Pizzeria;;09 83 98 52 24;7 Rue des Trésorier de la Bourse, 34000 Montpellier;;pizzeria montpellier
MW Pizzeria & Co;Pizzeria;;09 88 56 52 09;36 Cr Gambetta, 34000 Montpellier;;pizzeria montpellier
La Burrata - Pizzeria;Pizzeria;pizza@laburrata.fr;09 86 28 08 73;40 Rue du Cardinal de Cabrières, 34000 Montpellier;https://laburrata.fr/#carte;pizzeria montpellier
Ori Panzerotti;Restaurant italien;;04 67 05 17 97;20 Av. Georges Clemenceau, 34000 Montpellier;https://www.oripanzerotti.com/menu;pizzeria montpellier
Basilic & Co - pizzas de terroirs - Montpellier;Pizzeria;;04 99 58 84 72;25 Pl. Caroline Aigle, 34000 Montpellier;https://thefork.fr/restaurant/basilic-co-montpellier-saint-roch--r812033?cc=18174-54f&rwg_token=AFd1xnEudv1rbA-2oxQoy2iXC3YK6AnJbC8zdpSbZnDg48dXWtOoU9NJ390SLSRpcMyt8wWkultUIeMElAqFv_xjctut7QEv36_sJpDquRLuxs_sPIpeLIY%3D;pizzeria montpellier
Pizzeria-Dei-Guindani;Pizzeria;;07 68 91 11 47;790 Av. Villeneuve d'Angoulême, 34070 Montpellier;https://thefork.fr/restaurant/pizzeria-dei-guindani-r852036?cc=18174-54f&rwg_token=AFd1xnF15MkL5H3_EWkfiTsZdvfA8OTSviB-otjixnQElsSPvPubJlH6Skld8vihKH_muRiRB_x_TnZ0S0J_5-aSTAjOYttAqrPNIkusCQVWV1SE2A81G_Y%3D;pizzeria montpellier
Pizza Vera Napoli pizzeria feu de bois montpellier;Pizzeria;;06 77 00 49 16;Centre commercial du mas drevon, Bd Pedro de Luna, 34070 Montpellier;https://aufeudebois-pizza-montpellier.fr/notre-carte/;pizzeria montpellier
Restaurant Il Bar A Pizze - Montpellier;Restaurant italien;;06 07 39 61 65;290 Av. Théroigne de Méricourt, 34000 Montpellier;https://ilbarapizze.fr/link/table-booking?location_id=5013688416961822745&generated_by_centralapp;pizzeria montpellier
DIQUALITA MONTPELLIER;Pizzeria;;09 55 65 45 99;222 Rue Vendémiaire, 34000 Montpellier;;pizzeria montpellier
Pinocchio - Restaurant Italien Montpellier;Restaurant italien;;07 66 97 84 82;5 Pl. Jean Jaurès, 34000 Montpellier;https://www.sevenrooms.com/explore/pinocchiomontpellier/reservations/create/search?tracking=goog;pizzeria montpellier
Vera vera pizzeria;Pizzeria;contact@veravera-pizzeria.fr;07 67 64 00 34;95 Rue Don Bosco, 34000 Montpellier;https://veravera-pizzeria.fr/;pizzeria montpellier
La Mamma St Roch - Restaurant Italien Montpellier;Restaurant italien;;04 67 55 49 83;Mamma, 1 Rue en Gondeau, 34000 Montpellier;https://bookings.zenchef.com/results?rid=372904&pid=1001;pizzeria montpellier
La Pizza De L'Estanove;Pizzeria;;04 49 07 29 49;1 Rue des Capriers, 34070 Montpellier;;pizzeria montpellier
Pizzeria le Repalatin;Pizzeria;;04 99 63 56 57;42 Rue du Faubourg Figuerolles, 34070 Montpellier;https://www.facebook.com/Le-Repalatin-103727091266734/;pizzeria montpellier
LIKMA PIZZA - pizzeria/snack/burger;Pizzeria;;09 60 40 17 08;88 Av. du Pont Juvénal, 34000 Montpellier;;pizzeria montpellier
Pizzeria la Terrasse;Pizzeria;;04 99 65 56 21;4 rue du four saint eloi, Rue de Candolle, 34000 Montpellier;https://pizzeria-laterrasse.com/c/la-carte;pizzeria montpellier
PIZZA EAT Montpellier;Pizzeria;;09 86 54 06 36;35 Av. de Toulouse, 34070 Montpellier;https://delicity.com/pizza-eat-montpellier;pizzeria montpellier
POUSSE Pizza;Pizzeria;;06 17 38 27 19;7 Rue du Faubourg du Courreau, 34000 Montpellier;https://linktr.ee/pousse.restaurant;pizzeria montpellier
Pizza Palace;Pizzeria;;04 67 66 28 54;11 Rue Four des Flammes, 34000 Montpellier;;pizzeria montpellier
Pizza Hut;Pizzeria;;04 67 29 10 10;55 Bis Av. Georges Clemenceau, 34000 Montpellier;https://www.pizzahut.fr/huts/fr-1/157-montpellier/?utm_campaign=web_url&utm_medium=maps&utm_source=google&y_source=1_MTEzMzQ5NjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D;pizzeria montpellier
CHEEZY PIZZA;Pizzeria;;04 99 67 39 55;6 Rue de l'Université, 34000 Montpellier;https://cheezy-pizza.fr/order/#openOrderTime;pizzeria montpellier
Cheezy Pizza Comédie;Pizzeria;;09 88 45 01 87;4 Rue de Verdun, 34000 Montpellier;https://cheezy-pizza.fr/order/;pizzeria montpellier
