restaurant_name;cuisine_type;email;phone;address;city;source
Aux Antipodes;Restaurant de cuisine fusion;auxantipodesmarseille@gmail.com;07 72 46 59 55;26 Rue Sainte, 13001 Marseille;Marseille;google-maps
La Poule Noire;Restaurant;erfgnhenag.yncbhyrabver13@tznvy.pbz;09 74 64 03 05;61 Rue Sainte, 13001 Marseille;Marseille;google-maps
Chez Nous;Restaurant français;nom@domain.com;04 91 37 66 24;22 Pl. Notre Dame du Mont, 13006 Marseille;Marseille;google-maps
Belle de Mars;Restaurant gastronomique;reservation@belledemars.fr;09 86 57 24 58;56 Rue de Forbin, 13002 Marseille;Marseille;google-maps
Ekume;Restaurant;contact@ekume-restaurant.com;04 91 73 46 91;139 Rue Sainte, 13007 Marseille;Marseille;google-maps
Le Bouchon Provençal;Restaurant français;;04 91 33 44 92;6 Pl. aux Huiles, 13001 Marseille;Marseille;google-maps
Kin;Restaurant;utilisateur@domaine.com;04 91 06 44 02;10 Rue Francis Davso, 13001 Marseille;Marseille;google-maps
Ourea;Restaurant;ourea.restaurant@gmail.com;04 91 73 21 53;72 Rue de la Paix Marcel Paul, 13006 Marseille;Marseille;google-maps
L'Avant Cour;Restaurant de poisson;;06 34 03 25 92;122 Rue du Vallon des Auffes, 13007 Marseille;Marseille;google-maps
AM par Alexandre Mazzia;Restaurant gastronomique;contact@alexandre-mazzia.com;04 91 24 83 63;9 Rue François Rocca, 13008 Marseille;Marseille;google-maps
Tigermilk Marseille;Restaurant;Hibou@2x.webp;;23 Rue Saint-Saëns, 13001 Marseille;Marseille;google-maps
O'Bidul;Restaurant français;dev7561@gmail.com;04 91 33 93 78;79 Rue de la Palud, 13006 Marseille;Marseille;google-maps
Acuda - Restaurant Marseille;Restaurant;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;07 56 10 84 56;34 Pl. aux Huiles, 13001 Marseille;Marseille;google-maps
La Cantine De Lynn;Restaurant français;;04 91 73 45 13;3 Rue Audemar Tibido, 13008 Marseille;Marseille;google-maps
ONYX;Restaurant gastronomique;reservations.onyx@gmail.com;01 71 25 26 94;71 Rue de Provence, 75009 Paris;Paris;google-maps
NIDWORK Lyon Monts d'Or - Centre d'affaires - Coworking;Centre d'affaires;lyon@nidwork.fr;04 72 53 17 60;11 Rue Voie Lactée, 69370 Saint-Didier-au-Mont-d'Or;Lyon;google-maps
Sphère;Restaurant gastronomique;contact@restaurantsphere.com;01 71 25 26 91;18 Rue La Boétie, 75008 Paris;Paris;google-maps
Brasserie Barbotin;Restaurant français;ondiscute@lanouvellegarde.com;04 88 22 43 86;21 Cr Honoré d'Estienne d'Orves, 13001 Marseille;Marseille;google-maps
Le Colimaçon marais;Restaurant français;contactcolimacon@gmail.com;;44 Rue Vieille du Temple, 75004 Paris;Paris;google-maps
Le Marais Restaurant Paris;Restaurant méditerranéen;contact@privateaser.com;09 87 36 09 13;47 R. de Turbigo, 75003 Paris;Paris;google-maps
Alma Bistronomie;Restaurant;contact@restaurantalma-marseille.fr;06 66 09 10 86;8 Rue Louis Maurel, 13006 Marseille;Marseille;google-maps
Chouchou;Restaurant français;restauchouchou@gmail.com;01 45 08 02 03;23 Bd de Sébastopol, 75001 Paris;Paris;google-maps
Restaurant Miraflores;Restaurant gastronomique;contact@restaurant-miraflores.com;04 78 24 49 71;112 Boulevard des Belges, 69006 Lyon;Lyon;google-maps
Loulou;Restaurant australien;nom@exemple.fr;01 46 34 86 64;90 Bd Saint-Germain, 75005 Paris;Paris;google-maps
Carmelo;Restaurant italien;contact@bigmammagroup.com;09 73 03 43 88;7 Rue Neuve, 69001 Lyon;Lyon;google-maps
Petit Boutary;Restaurant français;contact@petitboutary.com;01 46 27 76 23;16 Rue Jacquemont, 75017 Paris;Paris;google-maps
La Table Étoilée - Restaurant Marseille;Restaurant;;06 13 52 20 06;3 Pl. aux Huiles, 13001 Marseille;Marseille;google-maps
Sacré Frenchy !;Restaurant français;bonjour@sacrefrenchy.com;01 42 74 55 63;58 Bd de Sébastopol, 75003 Paris;Paris;google-maps
ART Restaurant Lyon;Restaurant français;;09 51 54 79 68;3 Rue Sala, 69002 Lyon;Lyon;google-maps
La Pie Noir;Restaurant français;;01 43 54 08 99;5 Rue de la Montagne Ste Geneviève, 75005 Paris;Paris;google-maps
Agastache Restaurant Lyon;Restaurant français;contact@agastache-restaurant-lyon.fr;04 78 52 30 31;134 Rue Duguesclin, 69006 Lyon;Lyon;google-maps
Bombance;Restaurant;bombance.paris@gmail.com;01 45 35 44 62;40 Rue des Blancs Manteaux, 75004 Paris;Paris;google-maps
Ombellule;Restaurant gastronomique;utilisateur@domaine.com;04 51 68 08 90;36 Cr Franklin Roosevelt, 69006 Lyon;Lyon;google-maps
LE F2 Restaurant;Restaurant français;contact@lef2.com;04 78 82 22 22;2 Place de l'Hôpital, 28 Rue Louis Paufique, 69002 Lyon;Lyon;google-maps
