restaurant_name;cuisine_type;email;phone;address;neighborhood;source
Pastis Restaurant;Gastronomique francais;pastiscontact@gmail.com;04 67 66 37 26;3 Rue Terral 34000 Montpellier;Ecusson;pastis-restaurant.com
EMIKO;Japonais;contact@emikomontpellier.fr;09 52 40 44 40;10 B Rue des Balances 34000 Montpellier;Ecusson;emikomontpellier.fr
Le Petit Jardin;Gastronomique francais;contact@petit-jardin.com;04 67 60 78 78;20 rue Jean-Jacques Rousseau 34000 Montpellier;Ecusson;petit-jardin.com
La Table des Poetes;Francais bistronomique;contact@la-table-des-poetes.com;04 99 61 19 59;2 rue Desmazes 34000 Montpellier;Ecusson;la-table-des-poetes.com
Cena;Gastronomique;contact@cena-montpellier.fr;04 67 66 12 21;2 Place Petrarque 34000 Montpellier;Ecusson;cena-montpellier.fr
Reflet d'Obione;Gastronomique poissons;reservation@reflet-obione.com;04 99 61 09 17;29 rue Jean-Jacques Rousseau 34000 Montpellier;Ecusson;reflet-obione.com
Leclere;Bistronomique cuisine d'arrivage;arrivage@restaurantleclere.com;04 67 68 96 85;8 rue Andre Michel 34000 Montpellier;Gambetta;restaurantleclere.com
Terminal#1 Pourcel;Gastronomique;resa@terminalpourcel.com;04 99 58 38 38;1408 avenue de la mer 34000 Montpellier;Port Marianne;terminalpourcel.com
Brasserie du Theatre;Brasserie francaise;contact@brasseriedutheatre.fr;04 67 58 88 80;22 Boulevard Victor Hugo 34000 Montpellier;Comedie;brasseriedutheatre.fr
Bistrot d'O;Bistrot francais;Bistrotdo@outlook.com;06 47 04 65 39;178 rue de la Carrierasse Montpellier;Mosson;facebook.com/bistrotdo
Le Bistrok;Bistrot francais;bistrokmontpellier1@gmail.com;07 68 87 74 93;;Ecusson;lebistrok.com
Brasserie Quotidienne;Brasserie francaise;JULIEN.RUSCH@GMAIL.COM;04 67 64 06 64;95 place Vauban Boulevard d'Antigone 34000 Montpellier;Antigone;restaurants.accor.com
L'Accoudoir;Francais contemporain;contactlaccoudoir.montpellier@gmail.com;04 67 60 87 56;3 rue du Plan d'Agde 34000 Montpellier;Ecusson;laccoudoir-montpellier.fr
Arezzo;Italien;contact@arezzo-montpellier.com;04 67 54 70 79;8 Rue de l'Herberie 34000 Montpellier;Ecusson;arezzo-montpellier.com
La Belle Souad;Italien;contact@labellesouad.fr;04 99 61 08 64;;Mosson - Malbosc;labellesouad.fr
La Trattoria;Italien;;04 99 66 33 64;5 rue de l'ancienne poste 34000 Montpellier;Ecusson;la-trattoria-restaurant-montpellier.fr
Volfoni Antigone;Italien;volfoni.antigone@nirr.fr;04 99 64 87 45;Av. du Piree 34000 Montpellier;Antigone;volfoni.fr
Doppio Malto;Italien brasserie;odysseum@doppiomalto.com;;Odysseum Montpellier;Odysseum;doppiomalto.com
