restaurant_name;cuisine_type;email;phone;address;neighborhood;source
La Marine du Pecheur;Poissons fruits de mer;lucaslouna@yahoo.fr;04 67 68 00 05;1 Quai Paul Cunq 34250 Palavas-les-Flots;Palavas-les-Flots;marinedupecheur.fr
Le Pas Sage;Gastronomique mediterraneen;contact@lepassagepalavas.fr;04 67 68 23 96;Port de plaisance 34250 Palavas-les-Flots;Palavas-les-Flots;lepassagepalavas.fr
L'Artimon;Gastronomique mediterraneen;direction@lartimonpalavas.com;04 67 68 45 02;Bassin du Port de Plaisance Rive-Droite 34250 Palavas-les-Flots;Palavas-les-Flots;lartimonpalavas.com
Le Saint-Georges;Francais traditionnel;restaurantlestgeorges@orange.fr;04 67 68 31 38;4 Boulevard Marechal Foch 34250 Palavas-les-Flots;Palavas-les-Flots;restaurant-st-georges.fr
Le Phare;Poissons fruits de mer;restaurantlepharepalavas@gmail.com;04 67 68 61 16;Place de la Mediterranee 34250 Palavas-les-Flots;Palavas-les-Flots;restaurant-le-phare-palavas.com
La Guinguette du Ponant;Guinguette bord de mer;henridupre@live.fr;04 67 56 02 48;La Grande Motte;La Grande Motte;laguinguetteduponant.com
Le Sud Bistrot Chic;Bistrot mediterraneen;lesud.bistrotchic@yahoo.com;04 67 66 39 01;358 Avenue du Couchant 34280 La Grande Motte;La Grande Motte;lesudbistrotchic.fr
Effet Mer;Francais contemporain;info@effetmer.com;07 87 02 98 40;Route des Plages Le Grand Travers 34280 La Grande Motte;La Grande Motte;effetmer.com
La Petite Plage;Bar restaurant cocktails;lapetiteplage34@gmail.com;04 48 48 04 98;Centre Commercial Le Neptune Place Paul Valery 34280 La Grande Motte;La Grande Motte;la-petite-plage-restaurant-la-grande-motte.fr
Hotel La Plage Restaurant;Hotel restaurant mediterraneen;contact@hotellaplage-grandemotte.com;04 67 29 13 13;La Grande Motte;La Grande Motte;hotellaplage-grandemotte.com
Orata et Le Tamaris;Hotel restaurant thalasso;restaurant@thalasso-grandemotte.com;04 67 29 77 05;La Grande Motte;La Grande Motte;thalasso-grandemotte.com
Le Skipper Carnon;Bar restaurant glacier;contact@leskippercarnon.fr;;Port de Carnon 34130 Mauguio;Carnon;leskippercarnon.fr
Coeur des Sables;Bistronomique bord de mer;contact@coeurdessables.com;04 67 85 99 00;8 Avenue Grassion Cibrand 34130 Carnon Plage;Carnon;coeurdessables.com
Le Trident;Terre et mer;letrident.restaurant@gmail.com;04 67 50 63 55;239 rue de l'Etang de l'Or Carnon Plage 34130 Mauguio;Carnon;letrident-restaurant.com
Oustau Camarguen;Hotel restaurant camargue;oustaucamarguen@orange.fr;04 66 51 51 65;3 Route des Marines 30240 Le Grau-du-Roi;Le Grau-du-Roi;oustaucamarguen.com
Le Spinaker;Gastronomique hotel spa;contact@spinaker.com;04 66 53 36 37;Voie de la Pointe du Mole Port Camargue 30240 Le Grau-du-Roi;Le Grau-du-Roi;spinaker.com
Le Palangre;Poissons fruits de mer;palangre@orange.fr;04 66 51 76 30;56 Quai General de Gaulle 30240 Le Grau-du-Roi;Le Grau-du-Roi;lepalangre.fr
Casa Toro Luna;Espagnol tapas;contact@casatoroluna.fr;;Place Saint Louis 30220 Aigues-Mortes;Aigues-Mortes;casatoroluna.fr
L'Atelier de Nicolas;Bistronomique fusion;latelierdenicolas@live.fr;04 34 28 04 84;28 rue Alsace Lorraine 30220 Aigues-Mortes;Aigues-Mortes;restaurant-latelierdenicolas.fr
Le Chantemer;Poissons fruits de mer;sylvain@lechantemer.com;04 67 46 01 75;16 Promenade J.B. Marty 34200 Sete;Sete;lechantemer.com
La Calanque;Poissons fruits de mer;restaurantlacalanquesete@gmail.com;04 67 74 28 37;17 Quai General Durand 34200 Sete;Sete;restaurantlacalanquesete.com
La Peniche;Mediterraneen poissons;contact@restaurant-lapeniche.fr;04 67 48 64 13;1 Quai des Moulins 34200 Sete;Sete;restaurant-lapeniche.fr
L'Essentiel Sete;Mediterraneen bord de mer;lessentiel34200@orange.fr;04 67 51 15 40;292 Promenade du Lido 34200 Sete;Sete;lessentielsete.com
La Coquerie;Gastronomique mediterraneen;restaurantlacoquerie@gmail.com;06 47 06 71 38;1 Chemin du Cimetiere Marin 34200 Sete;Sete;restaurantlacoquerie.com
Le Grand Hotel de Sete - Quai 17;Gastronomique hotel;info@legrandhotelsete.com;04 67 74 71 77;17 Quai du Marechal de Lattre de Tassigny 34200 Sete;Sete;legrandhotelsete.com
In-Fine;Gastronomique francais;infine.restaurant@gmail.com;04 67 24 97 14;2 Rue de l'Hotel de Ville 34110 Frontignan;Frontignan;infinerestaurant.fr
L'Endroit Bar Restaurant Frontignan;Bar restaurant;helenadebrito64@gmail.com;06 33 75 98 87;3 Avenue Vauban 34110 Frontignan;Frontignan;l-endroit-restaurant-frontignan.fr
Le Comptoir des Compagnons;Francais insertion;contact@cdm34.org;04 67 50 49 88;Presqu'ile de Maguelone 34750 Villeneuve-les-Maguelone;Villeneuve-les-Maguelone;compagnons-de-maguelone.org
Le Petit Troc;Francais traditionnel;defilsendelices@gmail.com;04 67 27 88 13;36 Place de l'Eglise 34750 Villeneuve-les-Maguelone;Villeneuve-les-Maguelone;facebook.com/lepetittroc
Poz Pasta;Italien pates fraiches;Pozpasta@gmail.com;04 67 17 18 08;9 Rue Robert Schuman 34430 Saint-Jean-de-Vedas;Saint-Jean-de-Vedas;poz-pasta.fr
Espada;Buffet francais;espada.contact@gmail.com;04 67 17 48 62;Allee Pierre Lazareff 34430 Saint-Jean-de-Vedas;Saint-Jean-de-Vedas;espada.eatbu.com
Le Cartel des Saveurs;Francais gastronomique;lecarteldessaveurs@hotmail.fr;04 67 55 62 59;3 Rue Jean Monnet 34830 Clapiers;Clapiers;le-cartel-des-saveurs.fr
Le Wan;Asiatique;contact@lewanlunel.com;04 49 07 96 88;114 Cours Gabriel Peri 34400 Lunel;Lunel;wanlunel.com
Mon Auberge;Hotel restaurant;resa@monauberge.com;04 67 71 01 62;RN 113 Pont de Lunel 34400 Lunel;Lunel;monauberge.com
Le Disini;Gastronomique hotel spa;contact@disini-hotel.com;04 67 41 97 86;1 Rue des Carrieres 34160 Castries;Castries (peri-Montpellier);disini-hotel.com
Hotel Richer de Belleval;Gastronomique Jardin des Sens;contact@hotel-richerdebelleval.com;04 99 66 18 18;Place de la Canourgue 34000 Montpellier;Ecusson;hotel-richerdebelleval.com
JOST Hotel Restaurant Gabie;Hotel restaurant rooftop;contact@jost-hotel-montpellier.com;04 12 05 19 25;50 Rue Isabelle Eberhardt 34000 Montpellier;Saint-Roch;jost-hotel-montpellier.com
Empanadas Club Marche du Lez;Argentin empanadas;montpellier2@empanadasclub.com;;Marche du Lez 1348 avenue Raymond Dugrand 34000 Montpellier;Halles du Lez;empanadasclub.com
Restaurant Alexandre;Gastronomique;contact@restaurant-alexandre.com;04 67 56 63 63;Esplanade Maurice Justin 34280 La Grande Motte;La Grande Motte;restaurant-alexandre.com
Nassau;Poissons fruits de mer;restolegrandbleu@orange.fr;04 67 56 60 97;La Grande Motte;La Grande Motte;WebSearch
La Table du Grau;Francais traditionnel fait maison;contact@latable-dugrau.fr;;Le Grau-du-Roi;Le Grau-du-Roi;latable-dugrau.fr
Le Provencal;Hotel restaurant traditionnel;contact@leprovencal-legrauduroi.com;04 66 51 41 68;Le Grau-du-Roi;Le Grau-du-Roi;leprovencal-legrauduroi.com
La Camargue Restaurant;Traditionnel camargue;contact@lacamarguerestaurant.com;04 66 53 60 67;19 Rue de la Republique 30220 Aigues-Mortes;Aigues-Mortes;lacamarguerestaurant.com
Le Saint Louis Hotel Restaurant;Hotel restaurant camargue;contact@lesaintlouis.fr;04 66 53 72 68;10 Rue Amiral Courbet 30220 Aigues-Mortes;Aigues-Mortes;lesaintlouis.fr
The Marcel;Bistronomique halles;contact@the-marcel.fr;06 07 94 77 01;5 Rue Lazare Carnot 34200 Sete;Sete;the-marcel.fr
Le Petit Bistrot Sete;Francais bord de mer;contact@lepetitbistrotsete.com;04 99 02 43 89;14 Corniche de Neuburg 34200 Sete;Sete;lepetitbistrotsete.com
Restaurant MG;Mediterraneen poissons;contact@restaurant-mg.fr;07 82 62 97 98;Zone Technique du Port 34110 Frontignan;Frontignan;restaurant-mg.fr
La Grange Palavas;Francais traditionnel;contact@restolagrange-palavas.fr;04 67 68 25 01;14 Avenue de la Gare Albert Dubout 34250 Palavas-les-Flots;Palavas-les-Flots;restolagrange-palavas.fr
O Bon Vivre;Poissons panoramique;contact@o-bon-vivre-palavas.fr;04 49 07 10 87;25 Quai Paul Cunq 34250 Palavas-les-Flots;Palavas-les-Flots;o-bon-vivre-restaurant-palavas-les-flots.fr
Les Pieds dans l'O;Plage restaurant;contact@lespiedsdanslopalavas.fr;;Rive droite 34250 Palavas-les-Flots;Palavas-les-Flots;lespiedsdanslopalavas.fr
Wine Note;Bar restaurant festif;contact@winenote-restaurant.com;04 67 16 80 82;Parc d'Activites Aftalion 34670 Baillargues;Baillargues;winenote-restaurant.com
Du Cote de Chez Eux;Francais bistronomique;contact@pmc-restaurant-lunel.fr;;Lunel-Viel pres de Baillargues;Lunel-Viel;pmc-restaurant-lunel.fr
L'Ambrussum;Bistronomique tapas;contact@lambrussum.com;;Villetelle 34400;Vendargues (peri-Lunel);lambrussum.com
Le B12;Bistronomique mediterraneen;contact@leb12.com;;Zone de Vendargues;Vendargues;leb12.com
L'Escampe;Francais traditionnel;contact@lescampe-restaurant-lunel.com;;2 Avenue de la Chicanette 34400 Saturargues;Lunel (peri);lescampe-restaurant-lunel.com
